FRESH,GROCERY,FROZEN,HOSTEL_OR_RETAIL
685,137,75,0
720,610,774,0
747,778,895,0
886,7021,15601,0
1044,2012,245,0
1256,4710,74,0
1286,2216,469,0
1422,22272,137,1
1570,7417,175,0
1582,2060,264,0
1590.5,3596,30085,0
1683,131729,1494.5,1
1909,1533,830,0
1963,1664,414,0
2574.5,4342.5,53067,0
2649,572,950,0
2669,223,862,0
2856,8118,145,1
2936,5241,2515,0
2944,26000,493.5,1
3000,314,346,0
3043.5,8729,148.5,1
3081,4386.5,12863,0
3091.5,4770,71899,0
3286.5,89975,2298.5,1
3293,1095.5,17606,0
3427.5,1795,12062,0
3511,63729,1998,1
3546,3450,4006,0
3632,6252,440,0
3679,6684,4324,0
3750,1841,744,0
3764,12400,98,0
3860.5,3742,39033,0
3876,2262,425,0
3880.5,2471.5,17783,0
3956,1524,1103,0
4000.5,913,65791,0
4103,8335,402,0
4126.5,2186.5,32110,0
4175,5226,1383,0
4257,854,3470,0
4303,29360,630.5,1
4312,2291.5,48223,0
4331,20292,959,1
4396,686,59885,0
4434,2453,560,0
4457,53438,1902.5,1
4465.5,298,55325,0
4537,2510,65,0
4594,1763,2234,0
4652,1390,2306,0
4668,6036.5,36022,0
4672.5,1941,71424,0
4713,534,1457,0
4761.5,6498,55340,0
4768,2135.5,10123,0
4842,128878,2474.5,1
4961,1916,10891,0
4999.5,59220,598.5,1
5198,6532,7530,0
5210,10210,53388,0
5214,13622,2040,1
5335.5,32873,1408.5,1
5352,3600,659,0
5462,24746,3104,1
5533,1328,5502,0
5615,1997,1796,0
5701,2686.5,46161,0
5746,864,1206,0
5747,5332,9584,0
5777,9670,388,1
5793,2857,1945,0
5797,2882,6507,0
5801,14602,1497,1
5808,975,5500,0
5894,1799,1730,0
5907,6114,978,0
5938,4438,191,0
5950.5,895,25890,0
5955,3316,937,0
6016,19172,1274,1
6050,103769,930,1
6051.5,1020,14868,0
6091,5838,1859,0
6203,4857.5,64949,0
6214,28197,19762,0
6219,4153,40849,0
6276,7000.5,67528,0
6304,2280,514,0
6346,13829,492,1
6366,1238,3576,0
6390,2642,502,0
6391,2022,531,0
6427,94603,2338,1
6473,2028,1341,0
6473.5,2856.5,53820,0
6478,311.5,35176,0
6513,3193,69097,0
6531,2856,7496,0
6552,3655,868,0
6577,7050,40566,0
6578.5,4791,8778,0
6615,11091,833,1
6621,97768,1603.5,1
6649,1493,1541,0
6675.5,1230.5,43220,0
6677,5265,5612,1
6708,36788,3797.5,1
6814,3268,405,0
6844,683,1089,0
6858,1431,3498,0
6881,2155,2399,0
6930.5,2293.5,18968,0
6935,1563,2286,0
6942,542,4052,0
6973,803,1393,0
6983.5,79695,1688.5,1
6984,4329,3838,0
7007,2010,3383,0
7027,16293,1964,1
7050.5,26190,4978,1
7063,2471,30381,0
7064.5,66557,764.5,1
7132,3250,3724,0
7141,6536,333,0
7168,6462,31947,0
7182.5,2155,12770,0
7184.5,104415,71823,0
7235,2313,907,0
7267,1025.5,48491,0
7279.5,69156,291.5,1
7312,7656.5,31528,0
7338,4583,5127,0
7341,5923,349,0
7354,2431,977,0
7361,1162,597,0
7379,2251,547,0
7398,6089,2946,1
7422.5,89384,2024.5,1
7438,950,878,0
7450,2109,340,0
7492,21203,228,1
7509,1498,2395,0
7512,2338,43302,0
7533,12822,824,1
7554,4573,44870,0
7566,1268.5,22520,0
7620.5,67960,39992,0
7633,1902,282,0
7644,43703,717,1
7656.5,3711,32552,0
7699,6996,239,0
7798,56905,1342.5,1
7837.5,28881,1175.5,1
7880.5,3514,10004,0
7914,74402,1077.5,1
