MOMENT,LOCATION,CRIME,VICTIM_SEX,VICTIM_AGE,OCCURRENCES
AFTERNOON,BAR,CRIME_AGAINST_COMMUNITY,M,21,1
AFTERNOON,BAR,CRIME_AGAINST_COMMUNITY,M,34,1
AFTERNOON,BAR,FRAUD,M,29,1
AFTERNOON,BAR,ROBBERY,F,10,1
AFTERNOON,BAR,ROBBERY,F,14,1
AFTERNOON,BAR,ROBBERY,F,15,2
AFTERNOON,BAR,ROBBERY,F,16,1
AFTERNOON,BAR,ROBBERY,F,18,2
AFTERNOON,BAR,ROBBERY,F,19,1
AFTERNOON,BAR,ROBBERY,F,20,1
AFTERNOON,BAR,ROBBERY,F,21,2
AFTERNOON,BAR,ROBBERY,F,22,1
AFTERNOON,BAR,ROBBERY,F,23,5
AFTERNOON,BAR,ROBBERY,F,24,2
AFTERNOON,BAR,ROBBERY,F,25,1
AFTERNOON,BAR,ROBBERY,F,26,4
AFTERNOON,BAR,ROBBERY,F,28,2
AFTERNOON,BAR,ROBBERY,F,29,2
AFTERNOON,BAR,ROBBERY,F,30,2
AFTERNOON,BAR,ROBBERY,F,31,4
AFTERNOON,BAR,ROBBERY,F,32,3
AFTERNOON,BAR,ROBBERY,F,33,1
AFTERNOON,BAR,ROBBERY,F,33.73427719,5
AFTERNOON,BAR,ROBBERY,F,34,2
AFTERNOON,BAR,ROBBERY,F,35,1
AFTERNOON,BAR,ROBBERY,F,36,1
AFTERNOON,BAR,ROBBERY,F,37,1
AFTERNOON,BAR,ROBBERY,F,38,1
AFTERNOON,BAR,ROBBERY,F,43,1
AFTERNOON,BAR,ROBBERY,F,45,1
AFTERNOON,BAR,ROBBERY,F,47,2
AFTERNOON,BAR,ROBBERY,F,48,1
AFTERNOON,BAR,ROBBERY,F,49,1
AFTERNOON,BAR,ROBBERY,F,50,1
AFTERNOON,BAR,ROBBERY,F,55,1
AFTERNOON,BAR,ROBBERY,F,56,1
AFTERNOON,BAR,ROBBERY,F,61,3
AFTERNOON,BAR,ROBBERY,F,64,1
AFTERNOON,BAR,ROBBERY,F,70,1
AFTERNOON,BAR,ROBBERY,F,71,1
AFTERNOON,BAR,ROBBERY,F,77,1
AFTERNOON,BAR,ROBBERY,F,79,1
AFTERNOON,BAR,ROBBERY,F,84,1
AFTERNOON,BAR,ROBBERY,M,15,4
AFTERNOON,BAR,ROBBERY,M,18,1
AFTERNOON,BAR,ROBBERY,M,20,1
AFTERNOON,BAR,ROBBERY,M,22,3
AFTERNOON,BAR,ROBBERY,M,23,2
